#Name	PEP_START	PEP_END	DOM_START	DOM_END
5HT5A_HUMAN_TRANSMEM3	111	180	116	137
5HT5A_HUMAN_TRANSMEM4	154	223	159	181
5HT5A_HUMAN_TRANSMEM5	194	263	199	219
5HT5A_HUMAN_TRANSMEM6	278	347	283	303
5HT5A_HUMAN_TRANSMEM7	316	357	321	341
5HT6R_HUMAN_TRANSMEM1	30	99	35	57
5HT6R_HUMAN_TRANSMEM2	60	129	65	85
5HT6R_HUMAN_TRANSMEM3	96	165	101	122
5HT6R_HUMAN_TRANSMEM4	140	209	145	166
5HT6R_HUMAN_TRANSMEM5	180	249	185	208
5HT6R_HUMAN_TRANSMEM6	261	330	266	290
5HT6R_HUMAN_TRANSMEM7	291	360	296	320
5HT7R_HUMAN_TRANSMEM1	79	148	84	104
5HT7R_HUMAN_TRANSMEM2	113	182	118	138
5HT7R_HUMAN_TRANSMEM3	153	222	158	178
5HT7R_HUMAN_TRANSMEM4	197	266	202	222
5HT7R_HUMAN_TRANSMEM5	232	301	237	257
5HT7R_HUMAN_TRANSMEM6	321	390	326	346
5HT7R_HUMAN_TRANSMEM7	363	432	368	388
A3LT2_HUMAN_TRANSMEM1	8	77	13	32
A4GAT_HUMAN_TRANSMEM1	18	87	23	43
A4GCT_HUMAN_TRANSMEM1	0	70	5	25
A4_HUMAN_TRANSMEM1	697	766	702	722
AA1R_HUMAN_TRANSMEM1	6	75	11	33
AA1R_HUMAN_TRANSMEM2	42	111	47	69
AA1R_HUMAN_TRANSMEM3	76	145	81	102
AA1R_HUMAN_TRANSMEM4	119	188	124	146
AA1R_HUMAN_TRANSMEM5	172	241	177	201
AA1R_HUMAN_TRANSMEM6	231	300	236	259
AA1R_HUMAN_TRANSMEM7	263	326	268	292
AA2AR_HUMAN_TRANSMEM1	3	72	8	32
AA2AR_HUMAN_TRANSMEM2	38	107	43	66
AA2AR_HUMAN_TRANSMEM3	73	142	78	100
AA2AR_HUMAN_TRANSMEM4	116	185	121	143
AA2AR_HUMAN_TRANSMEM5	169	238	174	198
AA2AR_HUMAN_TRANSMEM6	230	299	235	258
AA2AR_HUMAN_TRANSMEM7	262	331	267	290
AA2BR_HUMAN_TRANSMEM1	4	73	9	33
AA2BR_HUMAN_TRANSMEM2	39	108	44	67
AA2BR_HUMAN_TRANSMEM3	74	143	79	101
AA2BR_HUMAN_TRANSMEM4	117	186	122	144
AA2BR_HUMAN_TRANSMEM5	174	243	179	203
AA2BR_HUMAN_TRANSMEM6	231	300	236	259
AA2BR_HUMAN_TRANSMEM7	263	332	268	291
AA3R_HUMAN_TRANSMEM1	10	79	15	37
AA3R_HUMAN_TRANSMEM2	44	113	49	72
AA3R_HUMAN_TRANSMEM3	80	149	85	106
AA3R_HUMAN_TRANSMEM4	122	191	127	148
AA3R_HUMAN_TRANSMEM5	173	242	178	198
AA3R_HUMAN_TRANSMEM6	227	296	232	255
AA3R_HUMAN_TRANSMEM7	257	318	262	284
AAA1_HUMAN_TRANSMEM1	35	104	40	60
AAA1_HUMAN_TRANSMEM2	67	136	72	92
AAA1_HUMAN_TRANSMEM3	108	177	113	133
AAA1_HUMAN_TRANSMEM4	263	332	268	288
AAA1_HUMAN_TRANSMEM5	305	374	310	330
AAA1_HUMAN_TRANSMEM6	357	426	362	382
AAA1_HUMAN_TRANSMEM7	383	452	388	408
AAA1_HUMAN_TRANSMEM8	419	488	424	444
AAA1_HUMAN_TRANSMEM9	443	512	448	468
AAAD_HUMAN_TRANSMEM1	1	70	6	23
AAAT_HUMAN_TRANSMEM1	47	116	52	81
AAAT_HUMAN_TRANSMEM2	90	159	95	116
AAAT_HUMAN_TRANSMEM3	126	195	131	153
AAAT_HUMAN_TRANSMEM4	220	289	225	248
AAAT_HUMAN_TRANSMEM5	253	322	258	285
AAAT_HUMAN_TRANSMEM6	302	371	307	328
AAAT_HUMAN_TRANSMEM7	369	438	374	400
AAAT_HUMAN_TRANSMEM8	456	525	461	482
ABCA1_HUMAN_TRANSMEM1	17	86	22	42
ABCA1_HUMAN_TRANSMEM2	635	704	640	660
ABCA1_HUMAN_TRANSMEM3	678	747	683	703
ABCA1_HUMAN_TRANSMEM4	711	780	716	736
ABCA1_HUMAN_TRANSMEM5	740	809	745	765
ABCA1_HUMAN_TRANSMEM6	772	841	777	797
ABCA1_HUMAN_TRANSMEM7	822	891	827	847
ABCA1_HUMAN_TRANSMEM8	1036	1105	1041	1057
ABCA1_HUMAN_TRANSMEM9	1346	1415	1351	1371
ABCA1_HUMAN_TRANSMEM10	1652	1721	1657	1677
ABCA1_HUMAN_TRANSMEM11	1698	1767	1703	1723
ABCA1_HUMAN_TRANSMEM12	1730	1799	1735	1755
ABCA1_HUMAN_TRANSMEM13	1763	1832	1768	1788
ABCA1_HUMAN_TRANSMEM14	1797	1866	1802	1822
ABCA1_HUMAN_TRANSMEM15	1847	1916	1852	1872
ABCA2_HUMAN_TRANSMEM1	17	86	22	42
ABCA2_HUMAN_TRANSMEM2	49	118	54	74
ABCA2_HUMAN_TRANSMEM3	694	763	699	719
ABCA2_HUMAN_TRANSMEM4	745	814	750	770
ABCA2_HUMAN_TRANSMEM5	777	846	782	802
ABCA2_HUMAN_TRANSMEM6	808	877	813	833
ABCA2_HUMAN_TRANSMEM7	852	921	857	877
ABCA2_HUMAN_TRANSMEM8	888	957	893	913
ABCA2_HUMAN_TRANSMEM9	1451	1520	1456	1476
ABCA2_HUMAN_TRANSMEM10	1787	1856	1792	1812
ABCA2_HUMAN_TRANSMEM11	1836	1905	1841	1861
ABCA2_HUMAN_TRANSMEM12	1867	1936	1872	1892
ABCA2_HUMAN_TRANSMEM13	1900	1969	1905	1925
ABCA2_HUMAN_TRANSMEM14	1986	2055	1991	2011
ABCA3_HUMAN_TRANSMEM1	17	86	22	42
ABCA3_HUMAN_TRANSMEM2	256	325	261	283
ABCA3_HUMAN_TRANSMEM3	302	371	307	327
ABCA3_HUMAN_TRANSMEM4	339	408	344	364
ABCA3_HUMAN_TRANSMEM5	368	437	373	393
ABCA3_HUMAN_TRANSMEM6	400	469	405	425
ABCA3_HUMAN_TRANSMEM7	442	511	447	467
ABCA3_HUMAN_TRANSMEM8	920	989	925	945
ABCA3_HUMAN_TRANSMEM9	1095	1164	1100	1120
ABCA3_HUMAN_TRANSMEM10	1139	1208	1144	1164
ABCA3_HUMAN_TRANSMEM11	1178	1247	1183	1203
ABCA3_HUMAN_TRANSMEM12	1208	1277	1213	1233
ABCA3_HUMAN_TRANSMEM13	1240	1309	1245	1265
ABCA3_HUMAN_TRANSMEM14	1301	1370	1306	1326
ABCA4_HUMAN_TRANSMEM1	17	86	22	42
ABCA4_HUMAN_TRANSMEM2	642	711	647	667
ABCA4_HUMAN_TRANSMEM3	695	764	700	720
ABCA4_HUMAN_TRANSMEM4	726	795	731	751
ABCA4_HUMAN_TRANSMEM5	755	824	760	780
ABCA4_HUMAN_TRANSMEM6	831	900	836	856
ABCA4_HUMAN_TRANSMEM7	1372	1441	1377	1397
ABCA4_HUMAN_TRANSMEM8	1723	1792	1728	1748
ABCA4_HUMAN_TRANSMEM9	1755	1824	1760	1780
ABCA4_HUMAN_TRANSMEM10	1788	1857	1793	1813
ABCA4_HUMAN_TRANSMEM11	1827	1896	1832	1852
ABCA4_HUMAN_TRANSMEM12	1869	1938	1874	1894
ABCA5_HUMAN_TRANSMEM1	27	96	32	52
ABCA5_HUMAN_TRANSMEM2	215	284	220	240
ABCA5_HUMAN_TRANSMEM3	259	328	264	284
ABCA5_HUMAN_TRANSMEM4	292	361	297	317
ABCA5_HUMAN_TRANSMEM5	323	392	328	348
ABCA5_HUMAN_TRANSMEM6	350	419	355	375
ABCA5_HUMAN_TRANSMEM7	391	460	396	416
ABCA5_HUMAN_TRANSMEM8	861	930	866	886
ABCA5_HUMAN_TRANSMEM9	962	1031	967	987
ABCA5_HUMAN_TRANSMEM10	1016	1085	1021	1041
ABCA5_HUMAN_TRANSMEM11	1066	1135	1071	1091
ABCA5_HUMAN_TRANSMEM12	1097	1166	1102	1122
ABCA5_HUMAN_TRANSMEM13	1134	1203	1139	1159
ABCA5_HUMAN_TRANSMEM14	1164	1233	1169	1189
ABCA5_HUMAN_TRANSMEM15	1202	1271	1207	1227
ABCA6_HUMAN_TRANSMEM1	26	95	31	51
ABCA6_HUMAN_TRANSMEM2	217	286	222	242
ABCA6_HUMAN_TRANSMEM3	263	332	268	288
ABCA6_HUMAN_TRANSMEM4	292	361	297	317
ABCA6_HUMAN_TRANSMEM5	322	391	327	347
ABCA6_HUMAN_TRANSMEM6	350	419	355	375
ABCA6_HUMAN_TRANSMEM7	392	461	397	417
ABCA6_HUMAN_TRANSMEM8	849	918	854	874
ABCA6_HUMAN_TRANSMEM9	1002	1071	1007	1027
ABCA6_HUMAN_TRANSMEM10	1057	1126	1062	1082
ABCA6_HUMAN_TRANSMEM11	1089	1158	1094	1114
ABCA6_HUMAN_TRANSMEM12	1122	1191	1127	1147
ABCA6_HUMAN_TRANSMEM13	1145	1214	1150	1170
ABCA6_HUMAN_TRANSMEM14	1189	1258	1194	1214
ABCA7_HUMAN_TRANSMEM1	17	86	22	42
ABCA7_HUMAN_TRANSMEM2	545	614	550	570
ABCA7_HUMAN_TRANSMEM3	588	657	593	613
ABCA7_HUMAN_TRANSMEM4	621	690	626	646
ABCA7_HUMAN_TRANSMEM5	650	719	655	675
ABCA7_HUMAN_TRANSMEM6	682	751	687	707
ABCA7_HUMAN_TRANSMEM7	722	791	727	747
ABCA7_HUMAN_TRANSMEM8	844	913	849	869
ABCA7_HUMAN_TRANSMEM9	1238	1307	1243	1263
ABCA7_HUMAN_TRANSMEM10	1533	1602	1538	1558
ABCA7_HUMAN_TRANSMEM11	1579	1648	1584	1604
ABCA7_HUMAN_TRANSMEM12	1616	1685	1621	1641
ABCA7_HUMAN_TRANSMEM13	1644	1713	1649	1669
ABCA7_HUMAN_TRANSMEM14	1678	1747	1683	1703
ABCA7_HUMAN_TRANSMEM15	1724	1793	1729	1749
ABCA8_HUMAN_TRANSMEM1	25	94	30	50
ABCA8_HUMAN_TRANSMEM2	215	284	220	240
ABCA8_HUMAN_TRANSMEM3	263	332	268	288
ABCA8_HUMAN_TRANSMEM4	294	363	299	319
ABCA8_HUMAN_TRANSMEM5	322	391	327	347
ABCA8_HUMAN_TRANSMEM6	354	423	359	379
ABCA8_HUMAN_TRANSMEM7	392	461	397	417
ABCA8_HUMAN_TRANSMEM8	819	888	824	844
ABCA8_HUMAN_TRANSMEM9	974	1043	979	999
ABCA8_HUMAN_TRANSMEM10	1025	1094	1030	1050
ABCA8_HUMAN_TRANSMEM11	1061	1130	1066	1086
ABCA8_HUMAN_TRANSMEM12	1091	1160	1096	1116
ABCA8_HUMAN_TRANSMEM13	1116	1185	1121	1141
ABCA8_HUMAN_TRANSMEM14	1152	1221	1157	1177
ABCA9_HUMAN_TRANSMEM1	26	95	31	51
ABCA9_HUMAN_TRANSMEM2	216	285	221	243
ABCA9_HUMAN_TRANSMEM3	264	333	269	289
ABCA9_HUMAN_TRANSMEM4	295	364	300	320
ABCA9_HUMAN_TRANSMEM5	324	393	329	349
ABCA9_HUMAN_TRANSMEM6	349	418	354	374
ABCA9_HUMAN_TRANSMEM7	393	462	398	418
ABCA9_HUMAN_TRANSMEM8	859	928	864	884
ABCA9_HUMAN_TRANSMEM9	1021	1090	1026	1046
ABCA9_HUMAN_TRANSMEM10	1060	1129	1065	1085
ABCA9_HUMAN_TRANSMEM11	1103	1172	1108	1128
ABCA9_HUMAN_TRANSMEM12	1131	1200	1136	1156
ABCA9_HUMAN_TRANSMEM13	1158	1227	1163	1183
ABCA9_HUMAN_TRANSMEM14	1195	1264	1200	1220
ABCAA_HUMAN_TRANSMEM1	78	147	83	103
ABCAA_HUMAN_TRANSMEM2	130	199	135	155
ABCAA_HUMAN_TRANSMEM3	180	249	185	205
ABCAA_HUMAN_TRANSMEM4	205	274	210	230
ABCAA_HUMAN_TRANSMEM5	235	304	240	260
ABCAA_HUMAN_TRANSMEM6	259	328	264	284
ABCAA_HUMAN_TRANSMEM7	305	374	310	330
ABCAA_HUMAN_TRANSMEM8	769	838	774	794
ABCAA_HUMAN_TRANSMEM9	885	954	890	910
ABCAA_HUMAN_TRANSMEM10	921	990	926	946
ABCAA_HUMAN_TRANSMEM11	980	1049	985	1005
ABCAA_HUMAN_TRANSMEM12	1009	1078	1014	1034
ABCAA_HUMAN_TRANSMEM13	1041	1110	1046	1066
ABCAA_HUMAN_TRANSMEM14	1068	1137	1073	1093
ABCAA_HUMAN_TRANSMEM15	1108	1177	1113	1133
ABCAC_HUMAN_TRANSMEM1	18	87	23	43
ABCAC_HUMAN_TRANSMEM2	1060	1129	1065	1085
ABCAC_HUMAN_TRANSMEM3	1107	1176	1112	1132
ABCAC_HUMAN_TRANSMEM4	1140	1209	1145	1165
ABCAC_HUMAN_TRANSMEM5	1169	1238	1174	1194
ABCAC_HUMAN_TRANSMEM6	1195	1264	1200	1220
ABCAC_HUMAN_TRANSMEM7	1245	1314	1250	1270
ABCAC_HUMAN_TRANSMEM8	1742	1811	1747	1767
ABCAC_HUMAN_TRANSMEM9	1974	2043	1979	1999
ABCAC_HUMAN_TRANSMEM10	2030	2099	2035	2055
ABCAC_HUMAN_TRANSMEM11	2067	2136	2072	2092
ABCAC_HUMAN_TRANSMEM12	2098	2167	2103	2123
ABCAC_HUMAN_TRANSMEM13	2182	2251	2187	2207
ABCAC_HUMAN_TRANSMEM14	2265	2334	2270	2290
ABCAD_HUMAN_TRANSMEM1	18	87	23	43
ABCAD_HUMAN_TRANSMEM2	3563	3632	3568	3588
ABCAD_HUMAN_TRANSMEM3	3602	3671	3607	3627
ABCAD_HUMAN_TRANSMEM4	3643	3712	3648	3668
ABCAD_HUMAN_TRANSMEM5	3674	3743	3679	3699
ABCAD_HUMAN_TRANSMEM6	3704	3773	3709	3729
ABCAD_HUMAN_TRANSMEM7	3747	3816	3752	3772
ABCAD_HUMAN_TRANSMEM8	4221	4290	4226	4246
ABCAD_HUMAN_TRANSMEM9	4453	4522	4458	4478
ABCAD_HUMAN_TRANSMEM10	4499	4568	4504	4524
ABCAD_HUMAN_TRANSMEM11	4531	4600	4536	4556
ABCAD_HUMAN_TRANSMEM12	4563	4632	4568	4588
ABCAD_HUMAN_TRANSMEM13	4602	4671	4607	4627
ABCAD_HUMAN_TRANSMEM14	4646	4715	4651	4671
ABCB5_HUMAN_TRANSMEM1	44	113	49	69
ABCB5_HUMAN_TRANSMEM2	105	174	110	130
ABCB5_HUMAN_TRANSMEM3	176	245	181	201
ABCB5_HUMAN_TRANSMEM4	198	267	203	223
ABCB5_HUMAN_TRANSMEM5	289	358	294	314
ABCB5_HUMAN_TRANSMEM6	317	386	322	342
ABCB5_HUMAN_TRANSMEM7	688	757	693	713
ABCB5_HUMAN_TRANSMEM8	732	801	737	757
ABCB5_HUMAN_TRANSMEM9	822	891	827	847
ABCB5_HUMAN_TRANSMEM10	912	981	917	937
ABCB5_HUMAN_TRANSMEM11	949	1018	954	974
ABCB6_HUMAN_TRANSMEM1	22	91	27	47
ABCB6_HUMAN_TRANSMEM2	68	137	73	93
ABCB6_HUMAN_TRANSMEM3	102	171	107	127
ABCB6_HUMAN_TRANSMEM4	143	212	148	168
ABCB6_HUMAN_TRANSMEM5	181	250	186	206
ABCB6_HUMAN_TRANSMEM6	260	329	265	285
ABCB6_HUMAN_TRANSMEM7	371	440	376	396
ABCB6_HUMAN_TRANSMEM8	404	473	409	431
ABCB6_HUMAN_TRANSMEM9	497	566	502	522
ABCB6_HUMAN_TRANSMEM10	525	594	530	550
ABCB7_HUMAN_TRANSMEM1	136	205	141	161
ABCB7_HUMAN_TRANSMEM2	181	250	186	206
ABCB7_HUMAN_TRANSMEM3	255	324	260	280
ABCB7_HUMAN_TRANSMEM4	286	355	291	311
ABCB7_HUMAN_TRANSMEM5	378	447	383	403
ABCB7_HUMAN_TRANSMEM6	405	474	410	430
ABCB9_HUMAN_TRANSMEM1	2	71	7	27
ABCB9_HUMAN_TRANSMEM2	42	111	47	67
ABCB9_HUMAN_TRANSMEM3	79	148	84	104
ABCB9_HUMAN_TRANSMEM4	111	180	116	136
ABCB9_HUMAN_TRANSMEM5	180	249	185	205
ABCB9_HUMAN_TRANSMEM6	220	289	225	245
ABCB9_HUMAN_TRANSMEM7	314	383	319	339
ABCB9_HUMAN_TRANSMEM8	411	480	416	436
ABCBA_HUMAN_TRANSMEM1	166	235	171	191
ABCBA_HUMAN_TRANSMEM2	211	280	216	236
ABCBA_HUMAN_TRANSMEM3	308	377	313	333
ABCBA_HUMAN_TRANSMEM4	403	472	408	428
ABCBA_HUMAN_TRANSMEM5	426	495	431	451
ABCBB_HUMAN_TRANSMEM1	58	127	63	83
ABCBB_HUMAN_TRANSMEM2	143	212	148	168
ABCBB_HUMAN_TRANSMEM3	211	280	216	236
ABCBB_HUMAN_TRANSMEM4	236	305	241	261
ABCBB_HUMAN_TRANSMEM5	315	384	320	340
ABCBB_HUMAN_TRANSMEM6	349	418	354	374
ABCBB_HUMAN_TRANSMEM7	751	820	756	776
ABCBB_HUMAN_TRANSMEM8	790	859	795	815
ABCBB_HUMAN_TRANSMEM9	865	934	870	890
ABCBB_HUMAN_TRANSMEM10	886	955	891	911
ABCBB_HUMAN_TRANSMEM11	975	1044	980	1000
ABCBB_HUMAN_TRANSMEM12	1007	1076	1012	1032
ABCC8_HUMAN_TRANSMEM1	30	99	35	55
ABCC8_HUMAN_TRANSMEM2	71	140	76	96
ABCC8_HUMAN_TRANSMEM3	97	166	102	122
ABCC8_HUMAN_TRANSMEM4	130	199	135	154
ABCC8_HUMAN_TRANSMEM5	163	232	168	194
ABCC8_HUMAN_TRANSMEM6	307	376	312	331
ABCC8_HUMAN_TRANSMEM7	351	420	356	376
ABCC8_HUMAN_TRANSMEM8	430	499	435	455
ABCC8_HUMAN_TRANSMEM9	454	523	459	479
ABCC8_HUMAN_TRANSMEM10	537	606	542	562
ABCC8_HUMAN_TRANSMEM11	580	649	585	605
ABCC8_HUMAN_TRANSMEM12	1000	1069	1005	1025
ABCC8_HUMAN_TRANSMEM13	1068	1137	1073	1093
ABCC8_HUMAN_TRANSMEM14	1133	1202	1138	1158
ABCC8_HUMAN_TRANSMEM15	1155	1224	1160	1180
ABCC8_HUMAN_TRANSMEM16	1247	1316	1252	1272
ABCC8_HUMAN_TRANSMEM17	1272	1341	1277	1297
ABCC9_HUMAN_TRANSMEM1	26	95	31	51
ABCC9_HUMAN_TRANSMEM2	68	137	73	93
ABCC9_HUMAN_TRANSMEM3	97	166	102	122
ABCC9_HUMAN_TRANSMEM4	128	197	133	153
ABCC9_HUMAN_TRANSMEM5	163	232	168	188
ABCC9_HUMAN_TRANSMEM6	297	366	302	322
ABCC9_HUMAN_TRANSMEM7	346	415	351	371
ABCC9_HUMAN_TRANSMEM8	419	488	424	444
ABCC9_HUMAN_TRANSMEM9	451	520	456	476
ABCC9_HUMAN_TRANSMEM10	527	596	532	552
ABCC9_HUMAN_TRANSMEM11	567	636	572	592
ABCC9_HUMAN_TRANSMEM12	986	1055	991	1011
ABCC9_HUMAN_TRANSMEM13	1030	1099	1035	1055
ABCC9_HUMAN_TRANSMEM14	1123	1192	1128	1148
ABCC9_HUMAN_TRANSMEM15	1241	1310	1246	1266
ABCCB_HUMAN_TRANSMEM1	159	228	164	184
ABCCB_HUMAN_TRANSMEM2	190	259	195	215
ABCCB_HUMAN_TRANSMEM3	266	335	271	291
ABCCB_HUMAN_TRANSMEM4	292	361	297	317
ABCCB_HUMAN_TRANSMEM5	379	448	384	404
ABCCB_HUMAN_TRANSMEM6	413	482	418	438
ABCCB_HUMAN_TRANSMEM7	802	871	807	827
ABCCB_HUMAN_TRANSMEM8	859	928	864	884
ABCCB_HUMAN_TRANSMEM9	926	995	931	951
ABCCB_HUMAN_TRANSMEM10	1045	1114	1050	1070
ABCD1_HUMAN_TRANSMEM1	87	156	92	112
ABCD1_HUMAN_TRANSMEM2	126	195	131	151
ABCD1_HUMAN_TRANSMEM3	233	302	238	258
ABCD1_HUMAN_TRANSMEM4	328	397	333	353
ABCD1_HUMAN_TRANSMEM5	468	537	473	493
ABCD2_HUMAN_TRANSMEM1	102	171	107	127
ABCD2_HUMAN_TRANSMEM2	139	208	144	164
ABCD2_HUMAN_TRANSMEM3	246	315	251	271
ABCD2_HUMAN_TRANSMEM4	346	415	351	371
ABCD3_HUMAN_TRANSMEM1	79	148	84	104
ABCD3_HUMAN_TRANSMEM2	121	190	126	146
ABCD3_HUMAN_TRANSMEM3	219	288	224	244
ABCD3_HUMAN_TRANSMEM4	308	377	313	333
ABCD4_HUMAN_TRANSMEM1	38	107	43	63
ABCD4_HUMAN_TRANSMEM2	71	140	76	96
ABCD4_HUMAN_TRANSMEM3	185	254	190	210
ABCD4_HUMAN_TRANSMEM4	274	343	279	299
ABCD4_HUMAN_TRANSMEM5	309	378	314	334
ABCG1_HUMAN_TRANSMEM1	422	491	427	445
ABCG1_HUMAN_TRANSMEM2	452	521	457	477
ABCG1_HUMAN_TRANSMEM3	502	571	507	525
ABCG1_HUMAN_TRANSMEM4	529	598	534	555
ABCG1_HUMAN_TRANSMEM5	563	632	568	586
ABCG1_HUMAN_TRANSMEM6	645	678	650	669
ABCG2_HUMAN_TRANSMEM1	391	460	396	416
ABCG2_HUMAN_TRANSMEM2	424	493	429	449
ABCG2_HUMAN_TRANSMEM3	473	542	478	498
ABCG2_HUMAN_TRANSMEM4	502	571	507	527
ABCG2_HUMAN_TRANSMEM5	531	600	536	556
ABCG2_HUMAN_TRANSMEM6	626	655	631	651
ABCG4_HUMAN_TRANSMEM1	389	458	394	414
ABCG4_HUMAN_TRANSMEM2	421	490	426	446
ABCG4_HUMAN_TRANSMEM3	468	537	473	493
ABCG4_HUMAN_TRANSMEM4	499	568	504	524
ABCG4_HUMAN_TRANSMEM5	528	597	533	553
ABCG4_HUMAN_TRANSMEM6	613	646	618	638
ABCG5_HUMAN_TRANSMEM1	379	448	384	404
ABCG5_HUMAN_TRANSMEM2	417	486	422	442
ABCG5_HUMAN_TRANSMEM3	463	532	468	489
ABCG5_HUMAN_TRANSMEM4	496	565	501	521
ABCG5_HUMAN_TRANSMEM5	524	593	529	549
ABCG5_HUMAN_TRANSMEM6	619	651	624	644
ABCG8_HUMAN_TRANSMEM1	412	481	417	437
ABCG8_HUMAN_TRANSMEM2	443	512	448	468
ABCG8_HUMAN_TRANSMEM3	493	562	498	518
