	ID	GENE	ACC	Name	TMD	Start	End	TM protein	SIGNALp	MUT	Size	N-terminus	signalp_TM	signalp_noTM	Highlight
20	5HT1E_HUMAN	HTR1E	P28566	5HT1E_HUMAN_TRANSMEM3	TRANSMEM3	97	118	YES	0	0	5	Extracellular	0.199	0.367	NO
21	5HT1E_HUMAN	HTR1E	P28566	5HT1E_HUMAN_TRANSMEM4	TRANSMEM4	139	159	YES	0	0	5	Cytoplasmic	0.213	0.307	NO
22	5HT1E_HUMAN	HTR1E	P28566	5HT1E_HUMAN_TRANSMEM5	TRANSMEM5	180	202	YES	0	0	5	Extracellular	0.162	0.332	NO
23	5HT1E_HUMAN	HTR1E	P28566	5HT1E_HUMAN_TRANSMEM6	TRANSMEM6	292	314	YES	0	0	5	Cytoplasmic	0.179	0.42	NO
24	5HT1F_HUMAN	HTR1F	P30939	5HT1F_HUMAN_TRANSMEM2	TRANSMEM2	61	83	YES	0	0	5	Cytoplasmic	0.208	0.389	NO
25	5HT1F_HUMAN	HTR1F	P30939	5HT1F_HUMAN_TRANSMEM3	TRANSMEM3	98	118	YES	0	0	5	Extracellular	0.203	0.262	NO
26	5HT1F_HUMAN	HTR1F	P30939	5HT1F_HUMAN_TRANSMEM4	TRANSMEM4	141	161	YES	0	0	5	Cytoplasmic	0.265	0.331	NO
27	5HT1F_HUMAN	HTR1F	P30939	5HT1F_HUMAN_TRANSMEM5	TRANSMEM5	179	201	YES	0	0	5	Extracellular	0.163	0.378	NO
28	5HT1F_HUMAN	HTR1F	P30939	5HT1F_HUMAN_TRANSMEM6	TRANSMEM6	291	311	YES	0	0	5	Cytoplasmic	0.344	0.514	YES
29	5HT2A_HUMAN	HTR2A	P28223	5HT2A_HUMAN_TRANSMEM1	TRANSMEM1	76	99	YES	0	0	5	Extracellular	0.236	0.562	YES
30	5HT2A_HUMAN	HTR2A	P28223	5HT2A_HUMAN_TRANSMEM2	TRANSMEM2	111	132	YES	0	0	5	Cytoplasmic	0.229	0.594	YES
31	5HT2A_HUMAN	HTR2A	P28223	5HT2A_HUMAN_TRANSMEM3	TRANSMEM3	149	171	YES	0	0	5	Extracellular	0.225	0.306	NO
32	5HT2A_HUMAN	HTR2A	P28223	5HT2A_HUMAN_TRANSMEM4	TRANSMEM4	192	215	YES	0	0	5	Cytoplasmic	0.341	0.415	NO
33	5HT2A_HUMAN	HTR2A	P28223	5HT2A_HUMAN_TRANSMEM5	TRANSMEM5	234	254	YES	0	0	5	Extracellular	0.168	0.39	NO
34	5HT2A_HUMAN	HTR2A	P28223	5HT2A_HUMAN_TRANSMEM6	TRANSMEM6	325	346	YES	0	0	5	Cytoplasmic	0.615	0.794	NO
35	5HT2A_HUMAN	HTR2A	P28223	5HT2A_HUMAN_TRANSMEM7	TRANSMEM7	363	384	YES	0	0	5	Extracellular	0.191	0.227	NO
36	5HT2B_HUMAN	HTR2B	P41595	5HT2B_HUMAN_TRANSMEM2	TRANSMEM2	91	113	YES	0	0	5	Cytoplasmic	0.197	0.383	NO
37	5HT2B_HUMAN	HTR2B	P41595	5HT2B_HUMAN_TRANSMEM3	TRANSMEM3	130	151	YES	0	0	5	Extracellular	0.304	0.416	NO
38	5HT2B_HUMAN	HTR2B	P41595	5HT2B_HUMAN_TRANSMEM4	TRANSMEM4	172	192	YES	0	0	5	Cytoplasmic	0.396	0.532	YES
39	5HT2B_HUMAN	HTR2B	P41595	5HT2B_HUMAN_TRANSMEM5	TRANSMEM5	217	239	YES	0	0	5	Extracellular	0.207	0.472	NO
40	5HT2B_HUMAN	HTR2B	P41595	5HT2B_HUMAN_TRANSMEM6	TRANSMEM6	325	345	YES	0	0	5	Cytoplasmic	0.516	0.811	YES
41	5HT2B_HUMAN	HTR2B	P41595	5HT2B_HUMAN_TRANSMEM7	TRANSMEM7	361	382	YES	0	0	5	Extracellular	0.255	0.248	NO
42	5HT2C_HUMAN	HTR2C	P28335	5HT2C_HUMAN_TRANSMEM2	TRANSMEM2	90	110	YES	1	3	5	Cytoplasmic	0.224	0.5	YES
43	5HT2C_HUMAN	HTR2C	P28335	5HT2C_HUMAN_TRANSMEM3	TRANSMEM3	128	150	YES	1	3	5	Extracellular	0.228	0.3	NO
44	5HT2C_HUMAN	HTR2C	P28335	5HT2C_HUMAN_TRANSMEM4	TRANSMEM4	171	193	YES	1	3	5	Cytoplasmic	0.341	0.409	NO
45	5HT2C_HUMAN	HTR2C	P28335	5HT2C_HUMAN_TRANSMEM5	TRANSMEM5	214	235	YES	1	3	5	Extracellular	0.169	0.518	YES
46	5HT2C_HUMAN	HTR2C	P28335	5HT2C_HUMAN_TRANSMEM6	TRANSMEM6	312	333	YES	1	3	5	Cytoplasmic	0.437	0.672	YES
47	5HT2C_HUMAN	HTR2C	P28335	5HT2C_HUMAN_TRANSMEM7	TRANSMEM7	349	371	YES	1	3	5	Extracellular	0.193	0.247	NO
48	5HT3A_HUMAN	HTR3A	P46098	5HT3A_HUMAN_TRANSMEM1	TRANSMEM1	242	268	YES	1	0	5	Extracellular	0.284	0.535	YES
49	5HT3A_HUMAN	HTR3A	P46098	5HT3A_HUMAN_TRANSMEM2	TRANSMEM2	274	292	YES	1	0	5	Cytoplasmic	0.286	0.452	NO
50	5HT3A_HUMAN	HTR3A	P46098	5HT3A_HUMAN_TRANSMEM3	TRANSMEM3	303	321	YES	1	0	5	Extracellular	0.357	0.782	YES
51	5HT3A_HUMAN	HTR3A	P46098	5HT3A_HUMAN_TRANSMEM4	TRANSMEM4	456	475	YES	1	0	5	Cytoplasmic	0.124	0.205	NO
52	5HT3B_HUMAN	HTR3B	O95264	5HT3B_HUMAN_TRANSMEM1	TRANSMEM1	239	259	YES	1	0	5	Extracellular	0.339	0.595	YES
53	5HT3B_HUMAN	HTR3B	O95264	5HT3B_HUMAN_TRANSMEM2	TRANSMEM2	269	286	YES	1	0	5	Cytoplasmic	0.156	0.392	NO
54	5HT3B_HUMAN	HTR3B	O95264	5HT3B_HUMAN_TRANSMEM3	TRANSMEM3	304	324	YES	1	0	5	Extracellular	0.535	0.632	YES
55	5HT3B_HUMAN	HTR3B	O95264	5HT3B_HUMAN_TRANSMEM4	TRANSMEM4	415	435	YES	1	0	5	Cytoplasmic	0.111	0.12	NO
56	5HT3C_HUMAN	HTR3C	Q8WXA8	5HT3C_HUMAN_TRANSMEM1	TRANSMEM1	249	269	YES	1	0	5	Extracellular	0.382	0.473	NO
57	5HT3C_HUMAN	HTR3C	Q8WXA8	5HT3C_HUMAN_TRANSMEM2	TRANSMEM2	283	303	YES	1	0	5	Cytoplasmic	0.276	0.386	NO
58	5HT3C_HUMAN	HTR3C	Q8WXA8	5HT3C_HUMAN_TRANSMEM3	TRANSMEM3	307	329	YES	1	0	5	Extracellular	0.282	0.516	YES
59	5HT3C_HUMAN	HTR3C	Q8WXA8	5HT3C_HUMAN_TRANSMEM4	TRANSMEM4	425	445	YES	1	0	5	Cytoplasmic	0.124	0.191	NO
60	5HT3D_HUMAN	HTR3D	Q70Z44	5HT3D_HUMAN_TRANSMEM1	TRANSMEM1	233	253	YES	1	0	5	Extracellular	0.243	0.3	NO
61	5HT3D_HUMAN	HTR3D	Q70Z44	5HT3D_HUMAN_TRANSMEM2	TRANSMEM2	265	285	YES	1	0	5	Cytoplasmic	0.346	0.381	NO
62	5HT3D_HUMAN	HTR3D	Q70Z44	5HT3D_HUMAN_TRANSMEM3	TRANSMEM3	307	327	YES	1	0	5	Extracellular	0.279	0.423	NO
63	5HT3D_HUMAN	HTR3D	Q70Z44	5HT3D_HUMAN_TRANSMEM4	TRANSMEM4	432	452	YES	1	0	5	Cytoplasmic	0.11	0.162	NO
64	5HT3E_HUMAN	HTR3E	A5X5Y0	5HT3E_HUMAN_TRANSMEM1	TRANSMEM1	249	269	YES	1	0	5	Extracellular	0.272	0.391	NO
65	5HT3E_HUMAN	HTR3E	A5X5Y0	5HT3E_HUMAN_TRANSMEM2	TRANSMEM2	283	303	YES	1	0	5	Cytoplasmic	0.288	0.431	NO
66	5HT3E_HUMAN	HTR3E	A5X5Y0	5HT3E_HUMAN_TRANSMEM3	TRANSMEM3	308	328	YES	1	0	5	Extracellular	0.294	0.441	NO
67	5HT3E_HUMAN	HTR3E	A5X5Y0	5HT3E_HUMAN_TRANSMEM4	TRANSMEM4	434	454	YES	1	0	5	Cytoplasmic	0.117	0.152	NO
68	5HT4R_HUMAN	HTR4	Q13639	5HT4R_HUMAN_TRANSMEM2	TRANSMEM2	59	79	YES	0	0	5	Cytoplasmic	0.317	0.457	NO
69	5HT4R_HUMAN	HTR4	Q13639	5HT4R_HUMAN_TRANSMEM3	TRANSMEM3	94	116	YES	0	0	5	Extracellular	0.22	0.266	NO
70	5HT4R_HUMAN	HTR4	Q13639	5HT4R_HUMAN_TRANSMEM4	TRANSMEM4	138	158	YES	0	0	5	Cytoplasmic	0.341	0.438	NO
71	5HT4R_HUMAN	HTR4	Q13639	5HT4R_HUMAN_TRANSMEM5	TRANSMEM5	193	213	YES	0	0	5	Extracellular	0.33	0.617	YES
72	5HT4R_HUMAN	HTR4	Q13639	5HT4R_HUMAN_TRANSMEM6	TRANSMEM6	261	281	YES	0	0	5	Cytoplasmic	0.278	0.38	NO
73	5HT4R_HUMAN	HTR4	Q13639	5HT4R_HUMAN_TRANSMEM7	TRANSMEM7	295	315	YES	0	0	5	Extracellular	0.202	0.219	NO
74	5HT5A_HUMAN	HTR5A	P47898	5HT5A_HUMAN_TRANSMEM2	TRANSMEM2	79	99	YES	0	0	5	Cytoplasmic	0.391	0.525	YES
75	5HT5A_HUMAN	HTR5A	P47898	5HT5A_HUMAN_TRANSMEM3	TRANSMEM3	116	137	YES	0	0	5	Extracellular	0.273	0.411	NO
76	5HT5A_HUMAN	HTR5A	P47898	5HT5A_HUMAN_TRANSMEM4	TRANSMEM4	159	181	YES	0	0	5	Cytoplasmic	0.468	0.643	YES
77	5HT5A_HUMAN	HTR5A	P47898	5HT5A_HUMAN_TRANSMEM5	TRANSMEM5	199	219	YES	0	0	5	Extracellular	0.188	0.464	NO
78	5HT5A_HUMAN	HTR5A	P47898	5HT5A_HUMAN_TRANSMEM6	TRANSMEM6	283	303	YES	0	0	5	Cytoplasmic	0.352	0.636	YES
79	5HT6R_HUMAN	HTR6	P50406	5HT6R_HUMAN_TRANSMEM2	TRANSMEM2	65	85	YES	0	0	5	Cytoplasmic	0.21	0.329	NO
80	5HT6R_HUMAN	HTR6	P50406	5HT6R_HUMAN_TRANSMEM3	TRANSMEM3	101	122	YES	0	0	5	Extracellular	0.215	0.304	NO
81	5HT6R_HUMAN	HTR6	P50406	5HT6R_HUMAN_TRANSMEM4	TRANSMEM4	145	166	YES	0	0	5	Cytoplasmic	0.553	0.711	NO
82	5HT6R_HUMAN	HTR6	P50406	5HT6R_HUMAN_TRANSMEM5	TRANSMEM5	185	208	YES	0	0	5	Extracellular	0.27	0.468	NO
83	5HT6R_HUMAN	HTR6	P50406	5HT6R_HUMAN_TRANSMEM6	TRANSMEM6	266	290	YES	0	0	5	Cytoplasmic	0.416	0.649	YES
84	5HT6R_HUMAN	HTR6	P50406	5HT6R_HUMAN_TRANSMEM7	TRANSMEM7	296	320	YES	0	0	5	Extracellular	0.245	0.237	NO
85	5HT7R_HUMAN	HTR7	P34969	5HT7R_HUMAN_TRANSMEM1	TRANSMEM1	84	104	YES	0	0	5	Extracellular	0.24	0.397	NO
86	5HT7R_HUMAN	HTR7	P34969	5HT7R_HUMAN_TRANSMEM2	TRANSMEM2	118	138	YES	0	0	5	Cytoplasmic	0.355	0.447	NO
87	5HT7R_HUMAN	HTR7	P34969	5HT7R_HUMAN_TRANSMEM3	TRANSMEM3	158	178	YES	0	0	5	Extracellular	0.213	0.255	NO
88	5HT7R_HUMAN	HTR7	P34969	5HT7R_HUMAN_TRANSMEM4	TRANSMEM4	202	222	YES	0	0	5	Cytoplasmic	0.551	0.691	NO
89	5HT7R_HUMAN	HTR7	P34969	5HT7R_HUMAN_TRANSMEM5	TRANSMEM5	237	257	YES	0	0	5	Extracellular	0.158	0.196	NO
90	5HT7R_HUMAN	HTR7	P34969	5HT7R_HUMAN_TRANSMEM6	TRANSMEM6	326	346	YES	0	0	5	Cytoplasmic	0.351	0.51	YES
91	5HT7R_HUMAN	HTR7	P34969	5HT7R_HUMAN_TRANSMEM7	TRANSMEM7	368	388	YES	0	0	5	Extracellular	0.208	0.224	NO
92	A4_HUMAN	APP	P05067	A4_HUMAN_TRANSMEM1	TRANSMEM1	702	722	YES	1	18	5	Extracellular	0.161	0.34	NO
93	AA1R_HUMAN	ADORA1	P30542	AA1R_HUMAN_TRANSMEM2	TRANSMEM2	47	69	YES	0	0	5	Cytoplasmic	0.182	0.296	NO
94	AA1R_HUMAN	ADORA1	P30542	AA1R_HUMAN_TRANSMEM3	TRANSMEM3	81	102	YES	0	0	5	Extracellular	0.308	0.399	NO
95	AA1R_HUMAN	ADORA1	P30542	AA1R_HUMAN_TRANSMEM4	TRANSMEM4	124	146	YES	0	0	5	Cytoplasmic	0.348	0.592	YES
96	AA1R_HUMAN	ADORA1	P30542	AA1R_HUMAN_TRANSMEM5	TRANSMEM5	177	201	YES	0	0	5	Extracellular	0.199	0.369	NO
97	AA1R_HUMAN	ADORA1	P30542	AA1R_HUMAN_TRANSMEM6	TRANSMEM6	236	259	YES	0	0	5	Cytoplasmic	0.408	0.475	NO
98	AA2AR_HUMAN	ADORA2A	P29274	AA2AR_HUMAN_TRANSMEM2	TRANSMEM2	43	66	YES	0	0	5	Cytoplasmic	0.337	0.526	YES
99	AA2AR_HUMAN	ADORA2A	P29274	AA2AR_HUMAN_TRANSMEM3	TRANSMEM3	78	100	YES	0	0	5	Extracellular	0.262	0.413	NO
100	AA2AR_HUMAN	ADORA2A	P29274	AA2AR_HUMAN_TRANSMEM4	TRANSMEM4	121	143	YES	0	0	5	Cytoplasmic	0.545	0.695	YES
101	AA2AR_HUMAN	ADORA2A	P29274	AA2AR_HUMAN_TRANSMEM5	TRANSMEM5	174	198	YES	0	0	5	Extracellular	0.216	0.478	NO
102	AA2AR_HUMAN	ADORA2A	P29274	AA2AR_HUMAN_TRANSMEM6	TRANSMEM6	235	258	YES	0	0	5	Cytoplasmic	0.335	0.502	YES
103	AA2AR_HUMAN	ADORA2A	P29274	AA2AR_HUMAN_TRANSMEM7	TRANSMEM7	267	290	YES	0	0	5	Extracellular	0.365	0.425	NO
104	AA2BR_HUMAN	ADORA2B	P29275	AA2BR_HUMAN_TRANSMEM2	TRANSMEM2	44	67	YES	0	0	5	Cytoplasmic	0.181	0.35	NO
105	AA2BR_HUMAN	ADORA2B	P29275	AA2BR_HUMAN_TRANSMEM3	TRANSMEM3	79	101	YES	0	0	5	Extracellular	0.313	0.414	NO
106	AA2BR_HUMAN	ADORA2B	P29275	AA2BR_HUMAN_TRANSMEM4	TRANSMEM4	122	144	YES	0	0	5	Cytoplasmic	0.459	0.589	YES
107	AA2BR_HUMAN	ADORA2B	P29275	AA2BR_HUMAN_TRANSMEM5	TRANSMEM5	179	203	YES	0	0	5	Extracellular	0.181	0.556	YES
108	AA2BR_HUMAN	ADORA2B	P29275	AA2BR_HUMAN_TRANSMEM6	TRANSMEM6	236	259	YES	0	0	5	Cytoplasmic	0.825	0.916	NO
109	AA2BR_HUMAN	ADORA2B	P29275	AA2BR_HUMAN_TRANSMEM7	TRANSMEM7	268	291	YES	0	0	5	Extracellular	0.268	0.332	NO
110	AA3R_HUMAN	ADORA3	P0DMS8	AA3R_HUMAN_TRANSMEM2	TRANSMEM2	49	72	YES	0	0	5	Cytoplasmic	0.194	0.402	NO
111	AA3R_HUMAN	ADORA3	P0DMS8	AA3R_HUMAN_TRANSMEM3	TRANSMEM3	85	106	YES	0	0	5	Extracellular	0.33	0.504	YES
112	AA3R_HUMAN	ADORA3	P0DMS8	AA3R_HUMAN_TRANSMEM4	TRANSMEM4	127	148	YES	0	0	5	Cytoplasmic	0.379	0.619	YES
113	AA3R_HUMAN	ADORA3	P0DMS8	AA3R_HUMAN_TRANSMEM5	TRANSMEM5	178	198	YES	0	0	5	Extracellular	0.169	0.464	NO
114	AA3R_HUMAN	ADORA3	P0DMS8	AA3R_HUMAN_TRANSMEM6	TRANSMEM6	232	255	YES	0	0	5	Cytoplasmic	0.311	0.496	NO
115	AAA1_HUMAN	SLC7A10	Q9NS82	AAA1_HUMAN_TRANSMEM2	TRANSMEM2	72	92	YES	0	0	5	Other	0.36	0.477	NO
116	AAA1_HUMAN	SLC7A10	Q9NS82	AAA1_HUMAN_TRANSMEM3	TRANSMEM3	113	133	YES	0	0	5	Other	0.501	0.833	YES
117	AAA1_HUMAN	SLC7A10	Q9NS82	AAA1_HUMAN_TRANSMEM4	TRANSMEM4	268	288	YES	0	0	5	Other	0.19	0.285	NO
118	AAA1_HUMAN	SLC7A10	Q9NS82	AAA1_HUMAN_TRANSMEM5	TRANSMEM5	310	330	YES	0	0	5	Other	0.33	0.487	NO
119	AAA1_HUMAN	SLC7A10	Q9NS82	AAA1_HUMAN_TRANSMEM6	TRANSMEM6	362	382	YES	0	0	5	Other	0.206	0.411	NO
120	AAA1_HUMAN	SLC7A10	Q9NS82	AAA1_HUMAN_TRANSMEM7	TRANSMEM7	388	408	YES	0	0	5	Other	0.159	0.35	NO
121	AAA1_HUMAN	SLC7A10	Q9NS82	AAA1_HUMAN_TRANSMEM8	TRANSMEM8	424	444	YES	0	0	5	Other	0.307	0.628	YES
122	AAA1_HUMAN	SLC7A10	Q9NS82	AAA1_HUMAN_TRANSMEM9	TRANSMEM9	448	468	YES	0	0	5	Other	0.16	0.313	NO
123	AAAT_HUMAN	SLC1A5	Q15758	AAAT_HUMAN_TRANSMEM2	TRANSMEM2	95	116	YES	0	0	5	Extracellular	0.53	0.827	YES
124	AAAT_HUMAN	SLC1A5	Q15758	AAAT_HUMAN_TRANSMEM3	TRANSMEM3	131	153	YES	0	0	5	Cytoplasmic	0.679	0.81	NO
125	AAAT_HUMAN	SLC1A5	Q15758	AAAT_HUMAN_TRANSMEM4	TRANSMEM4	225	248	YES	0	0	5	Extracellular	0.287	0.432	NO
126	AAAT_HUMAN	SLC1A5	Q15758	AAAT_HUMAN_TRANSMEM5	TRANSMEM5	258	285	YES	0	0	5	Cytoplasmic	0.168	0.315	NO
127	AAAT_HUMAN	SLC1A5	Q15758	AAAT_HUMAN_TRANSMEM6	TRANSMEM6	307	328	YES	0	0	5	Extracellular	0.188	0.309	NO
128	AAAT_HUMAN	SLC1A5	Q15758	AAAT_HUMAN_TRANSMEM7	TRANSMEM7	374	400	YES	0	0	5	Cytoplasmic	0.221	0.252	NO
129	AAAT_HUMAN	SLC1A5	Q15758	AAAT_HUMAN_TRANSMEM8	TRANSMEM8	461	482	YES	0	0	5	Extracellular	0.131	0.136	NO
130	ABCA1_HUMAN	ABCA1	O95477	ABCA1_HUMAN_TRANSMEM2	TRANSMEM2	640	660	YES	0	34	5	Extracellular	0.279	0.425	NO
131	ABCA1_HUMAN	ABCA1	O95477	ABCA1_HUMAN_TRANSMEM3	TRANSMEM3	683	703	YES	0	34	5	Extracellular	0.325	0.54	YES
132	ABCA1_HUMAN	ABCA1	O95477	ABCA1_HUMAN_TRANSMEM4	TRANSMEM4	716	736	YES	0	34	5	Extracellular	0.221	0.51	YES
133	ABCA1_HUMAN	ABCA1	O95477	ABCA1_HUMAN_TRANSMEM5	TRANSMEM5	745	765	YES	0	34	5	Extracellular	0.246	0.528	YES
134	ABCA1_HUMAN	ABCA1	O95477	ABCA1_HUMAN_TRANSMEM6	TRANSMEM6	777	797	YES	0	34	5	Extracellular	0.216	0.249	NO
135	ABCA1_HUMAN	ABCA1	O95477	ABCA1_HUMAN_TRANSMEM7	TRANSMEM7	827	847	YES	0	34	5	Extracellular	0.327	0.397	NO
136	ABCA1_HUMAN	ABCA1	O95477	ABCA1_HUMAN_TRANSMEM8	TRANSMEM8	1041	1057	YES	0	34	5	Extracellular	0.187	0.207	NO
137	ABCA1_HUMAN	ABCA1	O95477	ABCA1_HUMAN_TRANSMEM9	TRANSMEM9	1351	1371	YES	0	34	5	Extracellular	0.339	0.466	NO
138	ABCA1_HUMAN	ABCA1	O95477	ABCA1_HUMAN_TRANSMEM10	TRANSMEM10	1657	1677	YES	0	34	5	Extracellular	0.287	0.433	NO
139	ABCA1_HUMAN	ABCA1	O95477	ABCA1_HUMAN_TRANSMEM11	TRANSMEM11	1703	1723	YES	0	34	5	Extracellular	0.219	0.452	NO
140	ABCA1_HUMAN	ABCA1	O95477	ABCA1_HUMAN_TRANSMEM12	TRANSMEM12	1735	1755	YES	0	34	5	Extracellular	0.273	0.42	NO
141	ABCA1_HUMAN	ABCA1	O95477	ABCA1_HUMAN_TRANSMEM13	TRANSMEM13	1768	1788	YES	0	34	5	Extracellular	0.318	0.369	NO
142	ABCA1_HUMAN	ABCA1	O95477	ABCA1_HUMAN_TRANSMEM14	TRANSMEM14	1802	1822	YES	0	34	5	Extracellular	0.358	0.465	NO
143	ABCA1_HUMAN	ABCA1	O95477	ABCA1_HUMAN_TRANSMEM15	TRANSMEM15	1852	1872	YES	0	34	5	Extracellular	0.184	0.377	NO
144	ABCA2_HUMAN	ABCA2	Q9BZC7	ABCA2_HUMAN_TRANSMEM2	TRANSMEM2	54	74	YES	0	0	5	Other	0.179	0.204	NO
145	ABCA2_HUMAN	ABCA2	Q9BZC7	ABCA2_HUMAN_TRANSMEM3	TRANSMEM3	699	719	YES	0	0	5	Other	0.28	0.39	NO
146	ABCA2_HUMAN	ABCA2	Q9BZC7	ABCA2_HUMAN_TRANSMEM4	TRANSMEM4	750	770	YES	0	0	5	Other	0.265	0.484	NO
147	ABCA2_HUMAN	ABCA2	Q9BZC7	ABCA2_HUMAN_TRANSMEM5	TRANSMEM5	782	802	YES	0	0	5	Other	0.179	0.542	YES
148	ABCA2_HUMAN	ABCA2	Q9BZC7	ABCA2_HUMAN_TRANSMEM6	TRANSMEM6	813	833	YES	0	0	5	Other	0.151	0.187	NO
149	ABCA2_HUMAN	ABCA2	Q9BZC7	ABCA2_HUMAN_TRANSMEM7	TRANSMEM7	857	877	YES	0	0	5	Other	0.161	0.219	NO
150	ABCA2_HUMAN	ABCA2	Q9BZC7	ABCA2_HUMAN_TRANSMEM8	TRANSMEM8	893	913	YES	0	0	5	Other	0.3	0.559	YES
151	ABCA2_HUMAN	ABCA2	Q9BZC7	ABCA2_HUMAN_TRANSMEM9	TRANSMEM9	1456	1476	YES	0	0	5	Other	0.544	0.65	YES
152	ABCA2_HUMAN	ABCA2	Q9BZC7	ABCA2_HUMAN_TRANSMEM10	TRANSMEM10	1792	1812	YES	0	0	5	Other	0.277	0.466	NO
153	ABCA2_HUMAN	ABCA2	Q9BZC7	ABCA2_HUMAN_TRANSMEM11	TRANSMEM11	1841	1861	YES	0	0	5	Other	0.254	0.5	YES
154	ABCA2_HUMAN	ABCA2	Q9BZC7	ABCA2_HUMAN_TRANSMEM12	TRANSMEM12	1872	1892	YES	0	0	5	Other	0.231	0.338	NO
155	ABCA2_HUMAN	ABCA2	Q9BZC7	ABCA2_HUMAN_TRANSMEM13	TRANSMEM13	1905	1925	YES	0	0	5	Other	0.377	0.642	YES
156	ABCA2_HUMAN	ABCA2	Q9BZC7	ABCA2_HUMAN_TRANSMEM14	TRANSMEM14	1991	2011	YES	0	0	5	Other	0.181	0.248	NO
157	ABCA3_HUMAN	ABCA3	Q99758	ABCA3_HUMAN_TRANSMEM2	TRANSMEM2	261	283	YES	0	4	5	Other	0.515	0.663	YES
158	ABCA3_HUMAN	ABCA3	Q99758	ABCA3_HUMAN_TRANSMEM3	TRANSMEM3	307	327	YES	0	4	5	Other	0.422	0.737	YES
159	ABCA3_HUMAN	ABCA3	Q99758	ABCA3_HUMAN_TRANSMEM4	TRANSMEM4	344	364	YES	0	4	5	Other	0.379	0.633	YES
160	ABCA3_HUMAN	ABCA3	Q99758	ABCA3_HUMAN_TRANSMEM5	TRANSMEM5	373	393	YES	0	4	5	Other	0.178	0.237	NO
161	ABCA3_HUMAN	ABCA3	Q99758	ABCA3_HUMAN_TRANSMEM6	TRANSMEM6	405	425	YES	0	4	5	Other	0.276	0.272	NO
