	ID	GENE	ACC	Name	TOPO	Start	End	Transmembrane	SIGNALp	Total_MUT	Uniprot_MUT	ClinVar_MUT	COSMIC_MUT	N-terminus
37	5HT1F_HUMAN	HTR1F	P30939	5HT1F_HUMAN_TOPO_DOM4	TOPO_DOM4	119	140	TM	0	0	0	0	0	Cytoplasmic
38	5HT1F_HUMAN	HTR1F	P30939	5HT1F_HUMAN_TOPO_DOM5	TOPO_DOM5	162	178	TM	0	0	0	0	0	Extracellular
39	5HT1F_HUMAN	HTR1F	P30939	5HT1F_HUMAN_TOPO_DOM6	TOPO_DOM6	202	290	TM	0	0	0	0	0	Cytoplasmic
40	5HT1F_HUMAN	HTR1F	P30939	5HT1F_HUMAN_TOPO_DOM7	TOPO_DOM7	312	329	TM	0	0	0	0	0	Extracellular
41	5HT1F_HUMAN	HTR1F	P30939	5HT1F_HUMAN_TOPO_DOM8	TOPO_DOM8	351	366	TM	0	0	0	0	0	Cytoplasmic
42	5HT2A_HUMAN	HTR2A	P28223	5HT2A_HUMAN_TOPO_DOM1	TOPO_DOM1	1	75	TM	0	2	0	0	2	Extracellular
43	5HT2A_HUMAN	HTR2A	P28223	5HT2A_HUMAN_TOPO_DOM2	TOPO_DOM2	100	110	TM	0	0	0	0	0	Cytoplasmic
44	5HT2A_HUMAN	HTR2A	P28223	5HT2A_HUMAN_TOPO_DOM3	TOPO_DOM3	133	148	TM	0	0	0	0	0	Extracellular
45	5HT2A_HUMAN	HTR2A	P28223	5HT2A_HUMAN_TOPO_DOM4	TOPO_DOM4	172	191	TM	0	2	0	0	2	Cytoplasmic
46	5HT2A_HUMAN	HTR2A	P28223	5HT2A_HUMAN_TOPO_DOM5	TOPO_DOM5	216	233	TM	0	1	0	0	1	Extracellular
47	5HT2A_HUMAN	HTR2A	P28223	5HT2A_HUMAN_TOPO_DOM6	TOPO_DOM6	255	324	TM	0	1	0	0	1	Cytoplasmic
48	5HT2A_HUMAN	HTR2A	P28223	5HT2A_HUMAN_TOPO_DOM7	TOPO_DOM7	347	362	TM	0	0	0	0	0	Extracellular
49	5HT2A_HUMAN	HTR2A	P28223	5HT2A_HUMAN_TOPO_DOM8	TOPO_DOM8	385	471	TM	0	1	0	0	1	Cytoplasmic
50	5HT2B_HUMAN	HTR2B	P41595	5HT2B_HUMAN_TOPO_DOM1	TOPO_DOM1	1	56	TM	0	0	0	0	0	Extracellular
51	5HT2B_HUMAN	HTR2B	P41595	5HT2B_HUMAN_TOPO_DOM2	TOPO_DOM2	80	90	TM	0	0	0	0	0	Cytoplasmic
52	5HT2B_HUMAN	HTR2B	P41595	5HT2B_HUMAN_TOPO_DOM3	TOPO_DOM3	114	129	TM	0	0	0	0	0	Extracellular
53	5HT2B_HUMAN	HTR2B	P41595	5HT2B_HUMAN_TOPO_DOM4	TOPO_DOM4	152	171	TM	0	0	0	0	0	Cytoplasmic
54	5HT2B_HUMAN	HTR2B	P41595	5HT2B_HUMAN_TOPO_DOM5	TOPO_DOM5	193	216	TM	0	0	0	0	0	Extracellular
55	5HT2B_HUMAN	HTR2B	P41595	5HT2B_HUMAN_TOPO_DOM6	TOPO_DOM6	240	324	TM	0	2	0	0	2	Cytoplasmic
56	5HT2B_HUMAN	HTR2B	P41595	5HT2B_HUMAN_TOPO_DOM7	TOPO_DOM7	346	360	TM	0	0	0	0	0	Extracellular
57	5HT2B_HUMAN	HTR2B	P41595	5HT2B_HUMAN_TOPO_DOM8	TOPO_DOM8	383	481	TM	0	1	0	0	1	Cytoplasmic
58	5HT2C_HUMAN	HTR2C	P28335	5HT2C_HUMAN_TOPO_DOM1	TOPO_DOM1	33	52	TM	1	1	0	0	1	Extracellular
59	5HT2C_HUMAN	HTR2C	P28335	5HT2C_HUMAN_TOPO_DOM2	TOPO_DOM2	79	89	TM	1	0	0	0	0	Cytoplasmic
60	5HT2C_HUMAN	HTR2C	P28335	5HT2C_HUMAN_TOPO_DOM3	TOPO_DOM3	111	127	TM	1	0	0	0	0	Extracellular
61	5HT2C_HUMAN	HTR2C	P28335	5HT2C_HUMAN_TOPO_DOM4	TOPO_DOM4	151	170	TM	1	6	0	0	6	Cytoplasmic
62	5HT2C_HUMAN	HTR2C	P28335	5HT2C_HUMAN_TOPO_DOM5	TOPO_DOM5	194	213	TM	1	2	0	0	2	Extracellular
63	5HT2C_HUMAN	HTR2C	P28335	5HT2C_HUMAN_TOPO_DOM6	TOPO_DOM6	236	311	TM	1	1	0	0	1	Cytoplasmic
64	5HT2C_HUMAN	HTR2C	P28335	5HT2C_HUMAN_TOPO_DOM7	TOPO_DOM7	334	348	TM	1	0	0	0	0	Extracellular
65	5HT2C_HUMAN	HTR2C	P28335	5HT2C_HUMAN_TOPO_DOM8	TOPO_DOM8	372	458	TM	1	0	0	0	0	Cytoplasmic
66	5HT3A_HUMAN	HTR3A	P46098	5HT3A_HUMAN_TOPO_DOM1	TOPO_DOM1	24	241	TM	1	3	0	0	3	Extracellular
67	5HT3A_HUMAN	HTR3A	P46098	5HT3A_HUMAN_TOPO_DOM2	TOPO_DOM2	269	273	TM	1	0	0	0	0	Cytoplasmic
68	5HT3A_HUMAN	HTR3A	P46098	5HT3A_HUMAN_TOPO_DOM3	TOPO_DOM3	293	302	TM	1	0	0	0	0	Extracellular
69	5HT3A_HUMAN	HTR3A	P46098	5HT3A_HUMAN_TOPO_DOM4	TOPO_DOM4	322	455	TM	1	2	0	0	2	Cytoplasmic
70	5HT3A_HUMAN	HTR3A	P46098	5HT3A_HUMAN_TOPO_DOM5	TOPO_DOM5	476	478	TM	1	0	0	0	0	Extracellular
71	5HT3B_HUMAN	HTR3B	O95264	5HT3B_HUMAN_TOPO_DOM1	TOPO_DOM1	22	238	TM	1	5	0	0	5	Extracellular
72	5HT3B_HUMAN	HTR3B	O95264	5HT3B_HUMAN_TOPO_DOM2	TOPO_DOM2	260	268	TM	1	0	0	0	0	Cytoplasmic
73	5HT3B_HUMAN	HTR3B	O95264	5HT3B_HUMAN_TOPO_DOM3	TOPO_DOM3	287	303	TM	1	1	0	0	1	Extracellular
74	5HT3B_HUMAN	HTR3B	O95264	5HT3B_HUMAN_TOPO_DOM4	TOPO_DOM4	325	414	TM	1	0	0	0	0	Cytoplasmic
75	5HT3B_HUMAN	HTR3B	O95264	5HT3B_HUMAN_TOPO_DOM5	TOPO_DOM5	436	441	TM	1	0	0	0	0	Extracellular
76	5HT3C_HUMAN	HTR3C	Q8WXA8	5HT3C_HUMAN_TOPO_DOM1	TOPO_DOM1	28	248	TM	1	1	0	0	1	Extracellular
77	5HT3C_HUMAN	HTR3C	Q8WXA8	5HT3C_HUMAN_TOPO_DOM2	TOPO_DOM2	270	282	TM	1	0	0	0	0	Cytoplasmic
78	5HT3C_HUMAN	HTR3C	Q8WXA8	5HT3C_HUMAN_TOPO_DOM3	TOPO_DOM3	304	306	TM	1	0	0	0	0	Extracellular
79	5HT3C_HUMAN	HTR3C	Q8WXA8	5HT3C_HUMAN_TOPO_DOM4	TOPO_DOM4	330	424	TM	1	0	0	0	0	Cytoplasmic
80	5HT3C_HUMAN	HTR3C	Q8WXA8	5HT3C_HUMAN_TOPO_DOM5	TOPO_DOM5	446	447	TM	1	0	0	0	0	Extracellular
81	5HT3D_HUMAN	HTR3D	Q70Z44	5HT3D_HUMAN_TOPO_DOM1	TOPO_DOM1	25	232	TM	1	0	0	0	0	Extracellular
82	5HT3D_HUMAN	HTR3D	Q70Z44	5HT3D_HUMAN_TOPO_DOM2	TOPO_DOM2	254	264	TM	1	0	0	0	0	Cytoplasmic
83	5HT3D_HUMAN	HTR3D	Q70Z44	5HT3D_HUMAN_TOPO_DOM3	TOPO_DOM3	286	306	TM	1	0	0	0	0	Extracellular
84	5HT3D_HUMAN	HTR3D	Q70Z44	5HT3D_HUMAN_TOPO_DOM4	TOPO_DOM4	328	431	TM	1	0	0	0	0	Cytoplasmic
85	5HT3D_HUMAN	HTR3D	Q70Z44	5HT3D_HUMAN_TOPO_DOM5	TOPO_DOM5	453	454	TM	1	0	0	0	0	Extracellular
86	5HT3E_HUMAN	HTR3E	A5X5Y0	5HT3E_HUMAN_TOPO_DOM1	TOPO_DOM1	26	248	TM	1	0	0	0	0	Extracellular
87	5HT3E_HUMAN	HTR3E	A5X5Y0	5HT3E_HUMAN_TOPO_DOM2	TOPO_DOM2	270	282	TM	1	0	0	0	0	Cytoplasmic
88	5HT3E_HUMAN	HTR3E	A5X5Y0	5HT3E_HUMAN_TOPO_DOM3	TOPO_DOM3	304	307	TM	1	0	0	0	0	Extracellular
89	5HT3E_HUMAN	HTR3E	A5X5Y0	5HT3E_HUMAN_TOPO_DOM4	TOPO_DOM4	329	433	TM	1	0	0	0	0	Cytoplasmic
90	5HT3E_HUMAN	HTR3E	A5X5Y0	5HT3E_HUMAN_TOPO_DOM5	TOPO_DOM5	455	456	TM	1	0	0	0	0	Extracellular
91	5HT4R_HUMAN	HTR4	Q13639	5HT4R_HUMAN_TOPO_DOM1	TOPO_DOM1	1	19	TM	0	0	0	0	0	Extracellular
92	5HT4R_HUMAN	HTR4	Q13639	5HT4R_HUMAN_TOPO_DOM2	TOPO_DOM2	41	58	TM	0	0	0	0	0	Cytoplasmic
93	5HT4R_HUMAN	HTR4	Q13639	5HT4R_HUMAN_TOPO_DOM3	TOPO_DOM3	80	93	TM	0	0	0	0	0	Extracellular
94	5HT4R_HUMAN	HTR4	Q13639	5HT4R_HUMAN_TOPO_DOM4	TOPO_DOM4	117	137	TM	0	1	0	0	1	Cytoplasmic
95	5HT4R_HUMAN	HTR4	Q13639	5HT4R_HUMAN_TOPO_DOM5	TOPO_DOM5	159	192	TM	0	1	0	0	1	Extracellular
96	5HT4R_HUMAN	HTR4	Q13639	5HT4R_HUMAN_TOPO_DOM6	TOPO_DOM6	214	260	TM	0	2	0	0	2	Cytoplasmic
97	5HT4R_HUMAN	HTR4	Q13639	5HT4R_HUMAN_TOPO_DOM7	TOPO_DOM7	282	294	TM	0	1	0	0	1	Extracellular
98	5HT4R_HUMAN	HTR4	Q13639	5HT4R_HUMAN_TOPO_DOM8	TOPO_DOM8	316	388	TM	0	2	0	0	2	Cytoplasmic
99	5HT5A_HUMAN	HTR5A	P47898	5HT5A_HUMAN_TOPO_DOM1	TOPO_DOM1	1	40	TM	0	0	0	0	0	Extracellular
100	5HT5A_HUMAN	HTR5A	P47898	5HT5A_HUMAN_TOPO_DOM2	TOPO_DOM2	64	78	TM	0	2	0	0	2	Cytoplasmic
101	5HT5A_HUMAN	HTR5A	P47898	5HT5A_HUMAN_TOPO_DOM3	TOPO_DOM3	100	115	TM	0	0	0	0	0	Extracellular
102	5HT5A_HUMAN	HTR5A	P47898	5HT5A_HUMAN_TOPO_DOM4	TOPO_DOM4	138	158	TM	0	1	0	0	1	Cytoplasmic
103	5HT5A_HUMAN	HTR5A	P47898	5HT5A_HUMAN_TOPO_DOM5	TOPO_DOM5	182	198	TM	0	1	0	0	1	Extracellular
104	5HT5A_HUMAN	HTR5A	P47898	5HT5A_HUMAN_TOPO_DOM6	TOPO_DOM6	220	282	TM	0	7	0	0	7	Cytoplasmic
105	5HT5A_HUMAN	HTR5A	P47898	5HT5A_HUMAN_TOPO_DOM7	TOPO_DOM7	304	320	TM	0	0	0	0	0	Extracellular
106	5HT5A_HUMAN	HTR5A	P47898	5HT5A_HUMAN_TOPO_DOM8	TOPO_DOM8	342	357	TM	0	2	0	0	2	Cytoplasmic
107	5HT6R_HUMAN	HTR6	P50406	5HT6R_HUMAN_TOPO_DOM1	TOPO_DOM1	1	34	TM	0	0	0	0	0	Extracellular
108	5HT6R_HUMAN	HTR6	P50406	5HT6R_HUMAN_TOPO_DOM2	TOPO_DOM2	58	64	TM	0	0	0	0	0	Cytoplasmic
109	5HT6R_HUMAN	HTR6	P50406	5HT6R_HUMAN_TOPO_DOM3	TOPO_DOM3	86	100	TM	0	0	0	0	0	Extracellular
110	5HT6R_HUMAN	HTR6	P50406	5HT6R_HUMAN_TOPO_DOM4	TOPO_DOM4	123	144	TM	0	0	0	0	0	Cytoplasmic
111	5HT6R_HUMAN	HTR6	P50406	5HT6R_HUMAN_TOPO_DOM5	TOPO_DOM5	167	184	TM	0	0	0	0	0	Extracellular
112	5HT6R_HUMAN	HTR6	P50406	5HT6R_HUMAN_TOPO_DOM6	TOPO_DOM6	209	265	TM	0	0	0	0	0	Cytoplasmic
113	5HT6R_HUMAN	HTR6	P50406	5HT6R_HUMAN_TOPO_DOM7	TOPO_DOM7	291	295	TM	0	0	0	0	0	Extracellular
114	5HT6R_HUMAN	HTR6	P50406	5HT6R_HUMAN_TOPO_DOM8	TOPO_DOM8	321	440	TM	0	4	0	0	4	Cytoplasmic
115	5HT7R_HUMAN	HTR7	P34969	5HT7R_HUMAN_TOPO_DOM1	TOPO_DOM1	1	83	TM	0	0	0	0	0	Extracellular
116	5HT7R_HUMAN	HTR7	P34969	5HT7R_HUMAN_TOPO_DOM2	TOPO_DOM2	105	117	TM	0	0	0	0	0	Cytoplasmic
117	5HT7R_HUMAN	HTR7	P34969	5HT7R_HUMAN_TOPO_DOM3	TOPO_DOM3	139	157	TM	0	1	0	0	1	Extracellular
118	5HT7R_HUMAN	HTR7	P34969	5HT7R_HUMAN_TOPO_DOM4	TOPO_DOM4	179	201	TM	0	0	0	0	0	Cytoplasmic
119	5HT7R_HUMAN	HTR7	P34969	5HT7R_HUMAN_TOPO_DOM5	TOPO_DOM5	223	236	TM	0	0	0	0	0	Extracellular
120	5HT7R_HUMAN	HTR7	P34969	5HT7R_HUMAN_TOPO_DOM6	TOPO_DOM6	258	325	TM	0	2	0	0	2	Cytoplasmic
121	5HT7R_HUMAN	HTR7	P34969	5HT7R_HUMAN_TOPO_DOM7	TOPO_DOM7	347	367	TM	0	0	0	0	0	Extracellular
122	5HT7R_HUMAN	HTR7	P34969	5HT7R_HUMAN_TOPO_DOM8	TOPO_DOM8	389	479	TM	0	2	0	0	2	Cytoplasmic
123	A3LT2_HUMAN	A3GALT2	U3KPV4	A3LT2_HUMAN_TOPO_DOM1	TOPO_DOM1	1	12	TM	0	0	0	0	0	Cytoplasmic
124	A3LT2_HUMAN	A3GALT2	U3KPV4	A3LT2_HUMAN_TOPO_DOM2	TOPO_DOM2	33	340	TM	0	1	0	0	1	Lumenal
125	A4GAT_HUMAN	A4GALT	Q9NPC4	A4GAT_HUMAN_TOPO_DOM1	TOPO_DOM1	1	22	TM	0	0	0	0	0	Cytoplasmic
126	A4GAT_HUMAN	A4GALT	Q9NPC4	A4GAT_HUMAN_TOPO_DOM2	TOPO_DOM2	44	353	TM	0	2	0	0	2	Lumenal
127	A4GCT_HUMAN	A4GNT	Q9UNA3	A4GCT_HUMAN_TOPO_DOM1	TOPO_DOM1	1	4	TM	0	0	0	0	0	Cytoplasmic
128	A4GCT_HUMAN	A4GNT	Q9UNA3	A4GCT_HUMAN_TOPO_DOM2	TOPO_DOM2	26	340	TM	0	3	0	0	3	Lumenal
129	A4_HUMAN	APP	P05067	A4_HUMAN_TOPO_DOM1	TOPO_DOM1	18	701	TM	1	15	7	7	6	Extracellular
130	A4_HUMAN	APP	P05067	A4_HUMAN_TOPO_DOM2	TOPO_DOM2	723	770	TM	1	3	1	0	2	Cytoplasmic
131	AA1R_HUMAN	ADORA1	P30542	AA1R_HUMAN_TOPO_DOM1	TOPO_DOM1	1	10	TM	0	0	0	0	0	Extracellular
132	AA1R_HUMAN	ADORA1	P30542	AA1R_HUMAN_TOPO_DOM2	TOPO_DOM2	34	46	TM	0	0	0	0	0	Cytoplasmic
133	AA1R_HUMAN	ADORA1	P30542	AA1R_HUMAN_TOPO_DOM3	TOPO_DOM3	70	80	TM	0	0	0	0	0	Extracellular
134	AA1R_HUMAN	ADORA1	P30542	AA1R_HUMAN_TOPO_DOM4	TOPO_DOM4	103	123	TM	0	1	0	0	1	Cytoplasmic
135	AA1R_HUMAN	ADORA1	P30542	AA1R_HUMAN_TOPO_DOM5	TOPO_DOM5	147	176	TM	0	0	0	0	0	Extracellular
136	AA1R_HUMAN	ADORA1	P30542	AA1R_HUMAN_TOPO_DOM6	TOPO_DOM6	202	235	TM	0	1	0	0	1	Cytoplasmic
137	AA1R_HUMAN	ADORA1	P30542	AA1R_HUMAN_TOPO_DOM7	TOPO_DOM7	260	267	TM	0	0	0	0	0	Extracellular
138	AA1R_HUMAN	ADORA1	P30542	AA1R_HUMAN_TOPO_DOM8	TOPO_DOM8	293	326	TM	0	0	0	0	0	Cytoplasmic
139	AA2AR_HUMAN	ADORA2A	P29274	AA2AR_HUMAN_TOPO_DOM1	TOPO_DOM1	1	7	TM	0	0	0	0	0	Extracellular
140	AA2AR_HUMAN	ADORA2A	P29274	AA2AR_HUMAN_TOPO_DOM2	TOPO_DOM2	33	42	TM	0	0	0	0	0	Cytoplasmic
141	AA2AR_HUMAN	ADORA2A	P29274	AA2AR_HUMAN_TOPO_DOM3	TOPO_DOM3	67	77	TM	0	0	0	0	0	Extracellular
142	AA2AR_HUMAN	ADORA2A	P29274	AA2AR_HUMAN_TOPO_DOM4	TOPO_DOM4	101	120	TM	0	0	0	0	0	Cytoplasmic
143	AA2AR_HUMAN	ADORA2A	P29274	AA2AR_HUMAN_TOPO_DOM5	TOPO_DOM5	144	173	TM	0	0	0	0	0	Extracellular
144	AA2AR_HUMAN	ADORA2A	P29274	AA2AR_HUMAN_TOPO_DOM6	TOPO_DOM6	199	234	TM	0	1	0	0	1	Cytoplasmic
145	AA2AR_HUMAN	ADORA2A	P29274	AA2AR_HUMAN_TOPO_DOM7	TOPO_DOM7	259	266	TM	0	0	0	0	0	Extracellular
146	AA2AR_HUMAN	ADORA2A	P29274	AA2AR_HUMAN_TOPO_DOM8	TOPO_DOM8	291	412	TM	0	0	0	0	0	Cytoplasmic
147	AA2BR_HUMAN	ADORA2B	P29275	AA2BR_HUMAN_TOPO_DOM1	TOPO_DOM1	1	8	TM	0	0	0	0	0	Extracellular
148	AA2BR_HUMAN	ADORA2B	P29275	AA2BR_HUMAN_TOPO_DOM2	TOPO_DOM2	34	43	TM	0	0	0	0	0	Cytoplasmic
149	AA2BR_HUMAN	ADORA2B	P29275	AA2BR_HUMAN_TOPO_DOM3	TOPO_DOM3	68	78	TM	0	0	0	0	0	Extracellular
150	AA2BR_HUMAN	ADORA2B	P29275	AA2BR_HUMAN_TOPO_DOM4	TOPO_DOM4	102	121	TM	0	0	0	0	0	Cytoplasmic
151	AA2BR_HUMAN	ADORA2B	P29275	AA2BR_HUMAN_TOPO_DOM5	TOPO_DOM5	145	178	TM	0	0	0	0	0	Extracellular
152	AA2BR_HUMAN	ADORA2B	P29275	AA2BR_HUMAN_TOPO_DOM6	TOPO_DOM6	204	235	TM	0	0	0	0	0	Cytoplasmic
153	AA2BR_HUMAN	ADORA2B	P29275	AA2BR_HUMAN_TOPO_DOM7	TOPO_DOM7	260	267	TM	0	0	0	0	0	Extracellular
154	AA2BR_HUMAN	ADORA2B	P29275	AA2BR_HUMAN_TOPO_DOM8	TOPO_DOM8	292	332	TM	0	0	0	0	0	Cytoplasmic
155	AA3R_HUMAN	ADORA3	P0DMS8	AA3R_HUMAN_TOPO_DOM1	TOPO_DOM1	1	14	TM	0	0	0	0	0	Extracellular
156	AA3R_HUMAN	ADORA3	P0DMS8	AA3R_HUMAN_TOPO_DOM2	TOPO_DOM2	38	48	TM	0	0	0	0	0	Cytoplasmic
157	AA3R_HUMAN	ADORA3	P0DMS8	AA3R_HUMAN_TOPO_DOM3	TOPO_DOM3	73	84	TM	0	0	0	0	0	Extracellular
158	AA3R_HUMAN	ADORA3	P0DMS8	AA3R_HUMAN_TOPO_DOM4	TOPO_DOM4	107	126	TM	0	1	0	0	1	Cytoplasmic
159	AA3R_HUMAN	ADORA3	P0DMS8	AA3R_HUMAN_TOPO_DOM5	TOPO_DOM5	149	177	TM	0	1	0	0	1	Extracellular
160	AA3R_HUMAN	ADORA3	P0DMS8	AA3R_HUMAN_TOPO_DOM6	TOPO_DOM6	199	231	TM	0	2	0	0	2	Cytoplasmic
161	AA3R_HUMAN	ADORA3	P0DMS8	AA3R_HUMAN_TOPO_DOM7	TOPO_DOM7	256	261	TM	0	0	0	0	0	Extracellular
162	AA3R_HUMAN	ADORA3	P0DMS8	AA3R_HUMAN_TOPO_DOM8	TOPO_DOM8	285	318	TM	0	0	0	0	0	Cytoplasmic
163	AAAD_HUMAN	AADAC	P22760	AAAD_HUMAN_TOPO_DOM1	TOPO_DOM1	1	5	TM	0	0	0	0	0	Cytoplasmic
164	AAAD_HUMAN	AADAC	P22760	AAAD_HUMAN_TOPO_DOM2	TOPO_DOM2	24	399	TM	0	1	0	0	1	Lumenal
165	AAAT_HUMAN	SLC1A5	Q15758	AAAT_HUMAN_TOPO_DOM1	TOPO_DOM1	1	51	TM	0	0	0	0	0	Cytoplasmic
166	AAAT_HUMAN	SLC1A5	Q15758	AAAT_HUMAN_TOPO_DOM2	TOPO_DOM2	82	94	TM	0	0	0	0	0	Extracellular
167	AAAT_HUMAN	SLC1A5	Q15758	AAAT_HUMAN_TOPO_DOM3	TOPO_DOM3	117	130	TM	0	0	0	0	0	Cytoplasmic
168	AAAT_HUMAN	SLC1A5	Q15758	AAAT_HUMAN_TOPO_DOM4	TOPO_DOM4	154	224	TM	0	0	0	0	0	Extracellular
169	AAAT_HUMAN	SLC1A5	Q15758	AAAT_HUMAN_TOPO_DOM5	TOPO_DOM5	249	257	TM	0	0	0	0	0	Cytoplasmic
170	AAAT_HUMAN	SLC1A5	Q15758	AAAT_HUMAN_TOPO_DOM6	TOPO_DOM6	286	306	TM	0	0	0	0	0	Extracellular
